A (base 10)   | A (base 8)       | A (binary)                                     | Output
35184372088890| 1000000000000072 | 1000000000000000000000000000000000000000111010 | 0,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088891| 1000000000000073 | 1000000000000000000000000000000000000000111011 | 7,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088892| 1000000000000074 | 1000000000000000000000000000000000000000111100 | 3,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088893| 1000000000000075 | 1000000000000000000000000000000000000000111101 | 2,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088894| 1000000000000076 | 1000000000000000000000000000000000000000111110 | 0,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088895| 1000000000000077 | 1000000000000000000000000000000000000000111111 | 3,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088896| 1000000000000100 | 1000000000000000000000000000000000000001000000 | 7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088897| 1000000000000101 | 1000000000000000000000000000000000000001000001 | 6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088898| 1000000000000102 | 1000000000000000000000000000000000000001000010 | 4,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088899| 1000000000000103 | 1000000000000000000000000000000000000001000011 | 7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088900| 1000000000000104 | 1000000000000000000000000000000000000001000100 | 3,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088901| 1000000000000105 | 1000000000000000000000000000000000000001000101 | 3,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088902| 1000000000000106 | 1000000000000000000000000000000000000001000110 | 3,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088903| 1000000000000107 | 1000000000000000000000000000000000000001000111 | 4,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088904| 1000000000000110 | 1000000000000000000000000000000000000001001000 | 6,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088905| 1000000000000111 | 1000000000000000000000000000000000000001001001 | 4,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088906| 1000000000000112 | 1000000000000000000000000000000000000001001010 | 0,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088907| 1000000000000113 | 1000000000000000000000000000000000000001001011 | 7,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088908| 1000000000000114 | 1000000000000000000000000000000000000001001100 | 3,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088909| 1000000000000115 | 1000000000000000000000000000000000000001001101 | 3,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088910| 1000000000000116 | 1000000000000000000000000000000000000001001110 | 3,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088911| 1000000000000117 | 1000000000000000000000000000000000000001001111 | 4,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088912| 1000000000000120 | 1000000000000000000000000000000000000001010000 | 5,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088913| 1000000000000121 | 1000000000000000000000000000000000000001010001 | 2,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088914| 1000000000000122 | 1000000000000000000000000000000000000001010010 | 4,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088915| 1000000000000123 | 1000000000000000000000000000000000000001010011 | 7,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088916| 1000000000000124 | 1000000000000000000000000000000000000001010100 | 3,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088917| 1000000000000125 | 1000000000000000000000000000000000000001010101 | 3,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088918| 1000000000000126 | 1000000000000000000000000000000000000001010110 | 3,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088919| 1000000000000127 | 1000000000000000000000000000000000000001010111 | 5,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088920| 1000000000000130 | 1000000000000000000000000000000000000001011000 | 4,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088921| 1000000000000131 | 1000000000000000000000000000000000000001011001 | 0,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088922| 1000000000000132 | 1000000000000000000000000000000000000001011010 | 0,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088923| 1000000000000133 | 1000000000000000000000000000000000000001011011 | 7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088924| 1000000000000134 | 1000000000000000000000000000000000000001011100 | 3,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088925| 1000000000000135 | 1000000000000000000000000000000000000001011101 | 3,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088926| 1000000000000136 | 1000000000000000000000000000000000000001011110 | 3,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088927| 1000000000000137 | 1000000000000000000000000000000000000001011111 | 5,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088928| 1000000000000140 | 1000000000000000000000000000000000000001100000 | 3,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088929| 1000000000000141 | 1000000000000000000000000000000000000001100001 | 6,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088930| 1000000000000142 | 1000000000000000000000000000000000000001100010 | 4,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088931| 1000000000000143 | 1000000000000000000000000000000000000001100011 | 7,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088932| 1000000000000144 | 1000000000000000000000000000000000000001100100 | 3,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088933| 1000000000000145 | 1000000000000000000000000000000000000001100101 | 3,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088934| 1000000000000146 | 1000000000000000000000000000000000000001100110 | 2,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088935| 1000000000000147 | 1000000000000000000000000000000000000001100111 | 6,3,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088936| 1000000000000150 | 1000000000000000000000000000000000000001101000 | 2,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088937| 1000000000000151 | 1000000000000000000000000000000000000001101001 | 4,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088938| 1000000000000152 | 1000000000000000000000000000000000000001101010 | 0,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088939| 1000000000000153 | 1000000000000000000000000000000000000001101011 | 7,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088940| 1000000000000154 | 1000000000000000000000000000000000000001101100 | 3,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088941| 1000000000000155 | 1000000000000000000000000000000000000001101101 | 3,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088942| 1000000000000156 | 1000000000000000000000000000000000000001101110 | 2,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088943| 1000000000000157 | 1000000000000000000000000000000000000001101111 | 6,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088944| 1000000000000160 | 1000000000000000000000000000000000000001110000 | 1,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088945| 1000000000000161 | 1000000000000000000000000000000000000001110001 | 2,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088946| 1000000000000162 | 1000000000000000000000000000000000000001110010 | 4,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088947| 1000000000000163 | 1000000000000000000000000000000000000001110011 | 7,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088948| 1000000000000164 | 1000000000000000000000000000000000000001110100 | 3,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088949| 1000000000000165 | 1000000000000000000000000000000000000001110101 | 3,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088950| 1000000000000166 | 1000000000000000000000000000000000000001110110 | 2,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088951| 1000000000000167 | 1000000000000000000000000000000000000001110111 | 7,1,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088952| 1000000000000170 | 1000000000000000000000000000000000000001111000 | 0,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088953| 1000000000000171 | 1000000000000000000000000000000000000001111001 | 0,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088954| 1000000000000172 | 1000000000000000000000000000000000000001111010 | 0,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088955| 1000000000000173 | 1000000000000000000000000000000000000001111011 | 7,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088956| 1000000000000174 | 1000000000000000000000000000000000000001111100 | 3,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088957| 1000000000000175 | 1000000000000000000000000000000000000001111101 | 3,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088958| 1000000000000176 | 1000000000000000000000000000000000000001111110 | 2,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088959| 1000000000000177 | 1000000000000000000000000000000000000001111111 | 7,0,6,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088960| 1000000000000200 | 1000000000000000000000000000000000000010000000 | 7,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088961| 1000000000000201 | 1000000000000000000000000000000000000010000001 | 6,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088962| 1000000000000202 | 1000000000000000000000000000000000000010000010 | 4,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088963| 1000000000000203 | 1000000000000000000000000000000000000010000011 | 7,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088964| 1000000000000204 | 1000000000000000000000000000000000000010000100 | 2,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088965| 1000000000000205 | 1000000000000000000000000000000000000010000101 | 0,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088966| 1000000000000206 | 1000000000000000000000000000000000000010000110 | 5,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088967| 1000000000000207 | 1000000000000000000000000000000000000010000111 | 0,5,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088968| 1000000000000210 | 1000000000000000000000000000000000000010001000 | 6,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088969| 1000000000000211 | 1000000000000000000000000000000000000010001001 | 4,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088970| 1000000000000212 | 1000000000000000000000000000000000000010001010 | 0,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088971| 1000000000000213 | 1000000000000000000000000000000000000010001011 | 7,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088972| 1000000000000214 | 1000000000000000000000000000000000000010001100 | 2,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088973| 1000000000000215 | 1000000000000000000000000000000000000010001101 | 0,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088974| 1000000000000216 | 1000000000000000000000000000000000000010001110 | 5,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088975| 1000000000000217 | 1000000000000000000000000000000000000010001111 | 0,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088976| 1000000000000220 | 1000000000000000000000000000000000000010010000 | 5,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088977| 1000000000000221 | 1000000000000000000000000000000000000010010001 | 2,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088978| 1000000000000222 | 1000000000000000000000000000000000000010010010 | 4,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088979| 1000000000000223 | 1000000000000000000000000000000000000010010011 | 7,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088980| 1000000000000224 | 1000000000000000000000000000000000000010010100 | 2,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088981| 1000000000000225 | 1000000000000000000000000000000000000010010101 | 0,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088982| 1000000000000226 | 1000000000000000000000000000000000000010010110 | 5,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088983| 1000000000000227 | 1000000000000000000000000000000000000010010111 | 1,4,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088984| 1000000000000230 | 1000000000000000000000000000000000000010011000 | 4,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088985| 1000000000000231 | 1000000000000000000000000000000000000010011001 | 0,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088986| 1000000000000232 | 1000000000000000000000000000000000000010011010 | 0,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088987| 1000000000000233 | 1000000000000000000000000000000000000010011011 | 7,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088988| 1000000000000234 | 1000000000000000000000000000000000000010011100 | 2,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088989| 1000000000000235 | 1000000000000000000000000000000000000010011101 | 0,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088990| 1000000000000236 | 1000000000000000000000000000000000000010011110 | 5,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088991| 1000000000000237 | 1000000000000000000000000000000000000010011111 | 1,7,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088992| 1000000000000240 | 1000000000000000000000000000000000000010100000 | 3,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088993| 1000000000000241 | 1000000000000000000000000000000000000010100001 | 6,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088994| 1000000000000242 | 1000000000000000000000000000000000000010100010 | 4,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088995| 1000000000000243 | 1000000000000000000000000000000000000010100011 | 7,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088996| 1000000000000244 | 1000000000000000000000000000000000000010100100 | 2,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088997| 1000000000000245 | 1000000000000000000000000000000000000010100101 | 0,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088998| 1000000000000246 | 1000000000000000000000000000000000000010100110 | 4,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088999| 1000000000000247 | 1000000000000000000000000000000000000010100111 | 2,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089000| 1000000000000250 | 1000000000000000000000000000000000000010101000 | 2,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089001| 1000000000000251 | 1000000000000000000000000000000000000010101001 | 4,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089002| 1000000000000252 | 1000000000000000000000000000000000000010101010 | 0,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089003| 1000000000000253 | 1000000000000000000000000000000000000010101011 | 7,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089004| 1000000000000254 | 1000000000000000000000000000000000000010101100 | 2,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089005| 1000000000000255 | 1000000000000000000000000000000000000010101101 | 0,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089006| 1000000000000256 | 1000000000000000000000000000000000000010101110 | 4,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089007| 1000000000000257 | 1000000000000000000000000000000000000010101111 | 2,2,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089008| 1000000000000260 | 1000000000000000000000000000000000000010110000 | 1,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089009| 1000000000000261 | 1000000000000000000000000000000000000010110001 | 2,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089010| 1000000000000262 | 1000000000000000000000000000000000000010110010 | 4,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089011| 1000000000000263 | 1000000000000000000000000000000000000010110011 | 7,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089012| 1000000000000264 | 1000000000000000000000000000000000000010110100 | 2,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089013| 1000000000000265 | 1000000000000000000000000000000000000010110101 | 0,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089014| 1000000000000266 | 1000000000000000000000000000000000000010110110 | 4,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089015| 1000000000000267 | 1000000000000000000000000000000000000010110111 | 3,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089016| 1000000000000270 | 1000000000000000000000000000000000000010111000 | 0,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089017| 1000000000000271 | 1000000000000000000000000000000000000010111001 | 0,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089018| 1000000000000272 | 1000000000000000000000000000000000000010111010 | 0,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089019| 1000000000000273 | 1000000000000000000000000000000000000010111011 | 7,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089020| 1000000000000274 | 1000000000000000000000000000000000000010111100 | 2,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089021| 1000000000000275 | 1000000000000000000000000000000000000010111101 | 0,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089022| 1000000000000276 | 1000000000000000000000000000000000000010111110 | 4,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089023| 1000000000000277 | 1000000000000000000000000000000000000010111111 | 3,1,4,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089024| 1000000000000300 | 1000000000000000000000000000000000000011000000 | 7,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089025| 1000000000000301 | 1000000000000000000000000000000000000011000001 | 6,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089026| 1000000000000302 | 1000000000000000000000000000000000000011000010 | 4,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089027| 1000000000000303 | 1000000000000000000000000000000000000011000011 | 7,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089028| 1000000000000304 | 1000000000000000000000000000000000000011000100 | 2,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089029| 1000000000000305 | 1000000000000000000000000000000000000011000101 | 1,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089030| 1000000000000306 | 1000000000000000000000000000000000000011000110 | 7,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089031| 1000000000000307 | 1000000000000000000000000000000000000011000111 | 4,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089032| 1000000000000310 | 1000000000000000000000000000000000000011001000 | 6,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089033| 1000000000000311 | 1000000000000000000000000000000000000011001001 | 4,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089034| 1000000000000312 | 1000000000000000000000000000000000000011001010 | 0,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089035| 1000000000000313 | 1000000000000000000000000000000000000011001011 | 7,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089036| 1000000000000314 | 1000000000000000000000000000000000000011001100 | 2,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
