A (base 10) | A (base 8) | A (binary) | Output
179         | 263        | 10110011   | 7,1,4,
180         | 264        | 10110100   | 2,1,4,
181         | 265        | 10110101   | 0,1,4,
182         | 266        | 10110110   | 4,1,4,
183         | 267        | 10110111   | 3,1,4,
184         | 270        | 10111000   | 0,1,4,
185         | 271        | 10111001   | 0,1,4,
186         | 272        | 10111010   | 0,1,4,
187         | 273        | 10111011   | 7,1,4,
188         | 274        | 10111100   | 2,1,4,
189         | 275        | 10111101   | 0,1,4,
190         | 276        | 10111110   | 4,1,4,
191         | 277        | 10111111   | 3,1,4,
192         | 300        | 11000000   | 7,4,7,
193         | 301        | 11000001   | 6,4,7,
194         | 302        | 11000010   | 4,4,7,
195         | 303        | 11000011   | 7,4,7,
196         | 304        | 11000100   | 2,4,7,
197         | 305        | 11000101   | 1,4,7,
198         | 306        | 11000110   | 7,4,7,
199         | 307        | 11000111   | 4,4,7,
200         | 310        | 11001000   | 6,0,7,
201         | 311        | 11001001   | 4,0,7,
202         | 312        | 11001010   | 0,0,7,
203         | 313        | 11001011   | 7,0,7,
204         | 314        | 11001100   | 2,0,7,
205         | 315        | 11001101   | 1,0,7,
206         | 316        | 11001110   | 7,0,7,
207         | 317        | 11001111   | 4,0,7,
208         | 320        | 11010000   | 5,0,7,
209         | 321        | 11010001   | 2,0,7,
210         | 322        | 11010010   | 4,0,7,
211         | 323        | 11010011   | 7,0,7,
212         | 324        | 11010100   | 2,0,7,
213         | 325        | 11010101   | 1,0,7,
214         | 326        | 11010110   | 7,0,7,
215         | 327        | 11010111   | 5,0,7,
216         | 330        | 11011000   | 4,7,7,
217         | 331        | 11011001   | 0,7,7,
218         | 332        | 11011010   | 0,7,7,
219         | 333        | 11011011   | 7,7,7,
220         | 334        | 11011100   | 2,7,7,
221         | 335        | 11011101   | 1,7,7,
222         | 336        | 11011110   | 7,7,7,
223         | 337        | 11011111   | 5,7,7,
224         | 340        | 11100000   | 3,3,7,
225         | 341        | 11100001   | 6,3,7,
226         | 342        | 11100010   | 4,3,7,
227         | 343        | 11100011   | 7,3,7,
228         | 344        | 11100100   | 2,3,7,
229         | 345        | 11100101   | 1,3,7,
230         | 346        | 11100110   | 6,3,7,
231         | 347        | 11100111   | 6,3,7,
232         | 350        | 11101000   | 2,2,7,
233         | 351        | 11101001   | 4,2,7,
234         | 352        | 11101010   | 0,2,7,
235         | 353        | 11101011   | 7,2,7,
236         | 354        | 11101100   | 2,2,7,
237         | 355        | 11101101   | 1,2,7,
238         | 356        | 11101110   | 6,2,7,
239         | 357        | 11101111   | 6,2,7,
240         | 360        | 11110000   | 1,1,7,
241         | 361        | 11110001   | 2,1,7,
242         | 362        | 11110010   | 4,1,7,
243         | 363        | 11110011   | 7,1,7,
244         | 364        | 11110100   | 2,1,7,
245         | 365        | 11110101   | 1,1,7,
246         | 366        | 11110110   | 6,1,7,
247         | 367        | 11110111   | 7,1,7,
248         | 370        | 11111000   | 0,1,7,
249         | 371        | 11111001   | 0,1,7,
250         | 372        | 11111010   | 0,1,7,
251         | 373        | 11111011   | 7,1,7,
252         | 374        | 11111100   | 2,1,7,
253         | 375        | 11111101   | 1,1,7,
254         | 376        | 11111110   | 6,1,7,
255         | 377        | 11111111   | 7,1,7,
256         | 400        | 100000000  | 7,3,3,
257         | 401        | 100000001  | 6,3,3,
258         | 402        | 100000010  | 4,3,3,
259         | 403        | 100000011  | 7,3,3,
260         | 404        | 100000100  | 1,3,3,
261         | 405        | 100000101  | 6,3,3,
262         | 406        | 100000110  | 1,3,3,
263         | 407        | 100000111  | 0,3,3,
264         | 410        | 100001000  | 6,6,3,
265         | 411        | 100001001  | 4,6,3,
266         | 412        | 100001010  | 0,6,3,
267         | 413        | 100001011  | 7,6,3,
268         | 414        | 100001100  | 1,6,3,
269         | 415        | 100001101  | 6,6,3,
270         | 416        | 100001110  | 1,6,3,
271         | 417        | 100001111  | 0,6,3,
272         | 420        | 100010000  | 5,4,3,
273         | 421        | 100010001  | 2,4,3,
274         | 422        | 100010010  | 4,4,3,
275         | 423        | 100010011  | 7,4,3,
276         | 424        | 100010100  | 1,4,3,
277         | 425        | 100010101  | 6,4,3,
278         | 426        | 100010110  | 1,4,3,
279         | 427        | 100010111  | 1,4,3,
280         | 430        | 100011000  | 4,7,3,
281         | 431        | 100011001  | 0,7,3,
282         | 432        | 100011010  | 0,7,3,
283         | 433        | 100011011  | 7,7,3,
284         | 434        | 100011100  | 1,7,3,
285         | 435        | 100011101  | 6,7,3,
286         | 436        | 100011110  | 1,7,3,
287         | 437        | 100011111  | 1,7,3,
288         | 440        | 100100000  | 3,3,3,
289         | 441        | 100100001  | 6,3,3,
290         | 442        | 100100010  | 4,3,3,
291         | 443        | 100100011  | 7,3,3,
292         | 444        | 100100100  | 1,3,3,
293         | 445        | 100100101  | 6,3,3,
294         | 446        | 100100110  | 0,3,3,
295         | 447        | 100100111  | 2,3,3,
296         | 450        | 100101000  | 2,2,3,
297         | 451        | 100101001  | 4,2,3,
298         | 452        | 100101010  | 0,2,3,
299         | 453        | 100101011  | 7,2,3,
300         | 454        | 100101100  | 1,2,3,
301         | 455        | 100101101  | 6,2,3,
302         | 456        | 100101110  | 0,2,3,
303         | 457        | 100101111  | 2,2,3,
304         | 460        | 100110000  | 1,0,3,
305         | 461        | 100110001  | 2,0,3,
306         | 462        | 100110010  | 4,0,3,
307         | 463        | 100110011  | 7,0,3,
308         | 464        | 100110100  | 1,0,3,
309         | 465        | 100110101  | 6,0,3,
310         | 466        | 100110110  | 0,0,3,
311         | 467        | 100110111  | 3,0,3,
312         | 470        | 100111000  | 0,2,3,
313         | 471        | 100111001  | 0,2,3,
314         | 472        | 100111010  | 0,2,3,
315         | 473        | 100111011  | 7,2,3,
316         | 474        | 100111100  | 1,2,3,
317         | 475        | 100111101  | 6,2,3,
318         | 476        | 100111110  | 0,2,3,
319         | 477        | 100111111  | 3,2,3,
320         | 500        | 101000000  | 7,2,2,
321         | 501        | 101000001  | 6,2,2,
322         | 502        | 101000010  | 4,2,2,
323         | 503        | 101000011  | 7,2,2,
324         | 504        | 101000100  | 1,2,2,
325         | 505        | 101000101  | 7,2,2,
326         | 506        | 101000110  | 3,2,2,
327         | 507        | 101000111  | 4,2,2,
328         | 510        | 101001000  | 6,4,2,
329         | 511        | 101001001  | 4,4,2,
330         | 512        | 101001010  | 0,4,2,
331         | 513        | 101001011  | 7,4,2,
332         | 514        | 101001100  | 1,4,2,
333         | 515        | 101001101  | 7,4,2,
334         | 516        | 101001110  | 3,4,2,
335         | 517        | 101001111  | 4,4,2,
336         | 520        | 101010000  | 5,0,2,
337         | 521        | 101010001  | 2,0,2,
338         | 522        | 101010010  | 4,0,2,
339         | 523        | 101010011  | 7,0,2,
340         | 524        | 101010100  | 1,0,2,
341         | 525        | 101010101  | 7,0,2,
342         | 526        | 101010110  | 3,0,2,
343         | 527        | 101010111  | 5,0,2,
344         | 530        | 101011000  | 4,7,2,
345         | 531        | 101011001  | 0,7,2,
346         | 532        | 101011010  | 0,7,2,
347         | 533        | 101011011  | 7,7,2,
348         | 534        | 101011100  | 1,7,2,
349         | 535        | 101011101  | 7,7,2,
350         | 536        | 101011110  | 3,7,2,
351         | 537        | 101011111  | 5,7,2,
352         | 540        | 101100000  | 3,3,2,
353         | 541        | 101100001  | 6,3,2,
354         | 542        | 101100010  | 4,3,2,
355         | 543        | 101100011  | 7,3,2,
356         | 544        | 101100100  | 1,3,2,
357         | 545        | 101100101  | 7,3,2,
358         | 546        | 101100110  | 2,3,2,
359         | 547        | 101100111  | 6,3,2,
360         | 550        | 101101000  | 2,2,2,
361         | 551        | 101101001  | 4,2,2,
362         | 552        | 101101010  | 0,2,2,
363         | 553        | 101101011  | 7,2,2,
364         | 554        | 101101100  | 1,2,2,
365         | 555        | 101101101  | 7,2,2,
366         | 556        | 101101110  | 2,2,2,
367         | 557        | 101101111  | 6,2,2,
368         | 560        | 101110000  | 1,0,2,
369         | 561        | 101110001  | 2,0,2,
370         | 562        | 101110010  | 4,0,2,
371         | 563        | 101110011  | 7,0,2,
372         | 564        | 101110100  | 1,0,2,
373         | 565        | 101110101  | 7,0,2,
374         | 566        | 101110110  | 2,0,2,
375         | 567        | 101110111  | 7,0,2,
376         | 570        | 101111000  | 0,2,2,
377         | 571        | 101111001  | 0,2,2,
378         | 572        | 101111010  | 0,2,2,
379         | 573        | 101111011  | 7,2,2,
380         | 574        | 101111100  | 1,2,2,
381         | 575        | 101111101  | 7,2,2,
382         | 576        | 101111110  | 2,2,2,
383         | 577        | 101111111  | 7,2,2,
384         | 600        | 110000000  | 7,1,1,
385         | 601        | 110000001  | 6,1,1,
386         | 602        | 110000010  | 4,1,1,
387         | 603        | 110000011  | 7,1,1,
388         | 604        | 110000100  | 0,1,1,
389         | 605        | 110000101  | 4,1,1,
390         | 606        | 110000110  | 5,1,1,
391         | 607        | 110000111  | 0,1,1,
392         | 610        | 110001000  | 6,2,1,
393         | 611        | 110001001  | 4,2,1,
394         | 612        | 110001010  | 0,2,1,
395         | 613        | 110001011  | 7,2,1,
396         | 614        | 110001100  | 0,2,1,
397         | 615        | 110001101  | 4,2,1,
398         | 616        | 110001110  | 5,2,1,
399         | 617        | 110001111  | 0,2,1,
400         | 620        | 110010000  | 5,4,1,
401         | 621        | 110010001  | 2,4,1,
402         | 622        | 110010010  | 4,4,1,
403         | 623        | 110010011  | 7,4,1,
404         | 624        | 110010100  | 0,4,1,
405         | 625        | 110010101  | 4,4,1,
406         | 626        | 110010110  | 5,4,1,
407         | 627        | 110010111  | 1,4,1,
408         | 630        | 110011000  | 4,7,1,
409         | 631        | 110011001  | 0,7,1,
410         | 632        | 110011010  | 0,7,1,
411         | 633        | 110011011  | 7,7,1,
412         | 634        | 110011100  | 0,7,1,
413         | 635        | 110011101  | 4,7,1,
414         | 636        | 110011110  | 5,7,1,
415         | 637        | 110011111  | 1,7,1,
416         | 640        | 110100000  | 3,3,1,
417         | 641        | 110100001  | 6,3,1,
418         | 642        | 110100010  | 4,3,1,
419         | 643        | 110100011  | 7,3,1,
420         | 644        | 110100100  | 0,3,1,
421         | 645        | 110100101  | 4,3,1,
422         | 646        | 110100110  | 4,3,1,
423         | 647        | 110100111  | 2,3,1,
424         | 650        | 110101000  | 2,2,1,
425         | 651        | 110101001  | 4,2,1,
426         | 652        | 110101010  | 0,2,1,
427         | 653        | 110101011  | 7,2,1,
428         | 654        | 110101100  | 0,2,1,
429         | 655        | 110101101  | 4,2,1,
430         | 656        | 110101110  | 4,2,1,
431         | 657        | 110101111  | 2,2,1,
432         | 660        | 110110000  | 1,0,1,
433         | 661        | 110110001  | 2,0,1,
434         | 662        | 110110010  | 4,0,1,
435         | 663        | 110110011  | 7,0,1,
436         | 664        | 110110100  | 0,0,1,
437         | 665        | 110110101  | 4,0,1,
438         | 666        | 110110110  | 4,0,1,
439         | 667        | 110110111  | 3,0,1,
440         | 670        | 110111000  | 0,3,1,
441         | 671        | 110111001  | 0,3,1,
442         | 672        | 110111010  | 0,3,1,
443         | 673        | 110111011  | 7,3,1,
444         | 674        | 110111100  | 0,3,1,
445         | 675        | 110111101  | 4,3,1,
446         | 676        | 110111110  | 4,3,1,
447         | 677        | 110111111  | 3,3,1,
448         | 700        | 111000000  | 7,0,0,
449         | 701        | 111000001  | 6,0,0,
450         | 702        | 111000010  | 4,0,0,
451         | 703        | 111000011  | 7,0,0,
452         | 704        | 111000100  | 0,0,0,
453         | 705        | 111000101  | 5,0,0,
454         | 706        | 111000110  | 7,0,0,
455         | 707        | 111000111  | 4,0,0,
456         | 710        | 111001000  | 6,0,0,
457         | 711        | 111001001  | 4,0,0,
458         | 712        | 111001010  | 0,0,0,
459         | 713        | 111001011  | 7,0,0,
460         | 714        | 111001100  | 0,0,0,
461         | 715        | 111001101  | 5,0,0,
462         | 716        | 111001110  | 7,0,0,
463         | 717        | 111001111  | 4,0,0,
464         | 720        | 111010000  | 5,0,0,
465         | 721        | 111010001  | 2,0,0,
466         | 722        | 111010010  | 4,0,0,
467         | 723        | 111010011  | 7,0,0,
468         | 724        | 111010100  | 0,0,0,
469         | 725        | 111010101  | 5,0,0,
470         | 726        | 111010110  | 7,0,0,
471         | 727        | 111010111  | 5,0,0,
472         | 730        | 111011000  | 4,7,0,
473         | 731        | 111011001  | 0,7,0,
474         | 732        | 111011010  | 0,7,0,
475         | 733        | 111011011  | 7,7,0,
476         | 734        | 111011100  | 0,7,0,
477         | 735        | 111011101  | 5,7,0,
478         | 736        | 111011110  | 7,7,0,
479         | 737        | 111011111  | 5,7,0,
480         | 740        | 111100000  | 3,3,0,
481         | 741        | 111100001  | 6,3,0,
482         | 742        | 111100010  | 4,3,0,
483         | 743        | 111100011  | 7,3,0,
484         | 744        | 111100100  | 0,3,0,
485         | 745        | 111100101  | 5,3,0,
486         | 746        | 111100110  | 6,3,0,
487         | 747        | 111100111  | 6,3,0,
488         | 750        | 111101000  | 2,2,0,
489         | 751        | 111101001  | 4,2,0,
490         | 752        | 111101010  | 0,2,0,
491         | 753        | 111101011  | 7,2,0,
492         | 754        | 111101100  | 0,2,0,
493         | 755        | 111101101  | 5,2,0,
494         | 756        | 111101110  | 6,2,0,
495         | 757        | 111101111  | 6,2,0,
496         | 760        | 111110000  | 1,0,0,
497         | 761        | 111110001  | 2,0,0,
498         | 762        | 111110010  | 4,0,0,
499         | 763        | 111110011  | 7,0,0,
500         | 764        | 111110100  | 0,0,0,
501         | 765        | 111110101  | 5,0,0,
502         | 766        | 111110110  | 6,0,0,
503         | 767        | 111110111  | 7,0,0,
504         | 770        | 111111000  | 0,3,0,
505         | 771        | 111111001  | 0,3,0,
506         | 772        | 111111010  | 0,3,0,
507         | 773        | 111111011  | 7,3,0,
508         | 774        | 111111100  | 0,3,0,
509         | 775        | 111111101  | 5,3,0,
510         | 776        | 111111110  | 6,3,0,
511         | 777        | 111111111  | 7,3,0,
512         | 1000       | 1000000000 | 7,7,6,6,
513         | 1001       | 1000000001 | 6,7,6,6,
514         | 1002       | 1000000010 | 4,7,6,6,
515         | 1003       | 1000000011 | 7,7,6,6,
516         | 1004       | 1000000100 | 7,7,6,6,
517         | 1005       | 1000000101 | 2,7,6,6,
518         | 1006       | 1000000110 | 1,7,6,6,
519         | 1007       | 1000000111 | 0,7,6,6,
520         | 1010       | 1000001000 | 6,6,6,6,
521         | 1011       | 1000001001 | 4,6,6,6,
522         | 1012       | 1000001010 | 0,6,6,6,
523         | 1013       | 1000001011 | 7,6,6,6,
524         | 1014       | 1000001100 | 7,6,6,6,
525         | 1015       | 1000001101 | 2,6,6,6,
526         | 1016       | 1000001110 | 1,6,6,6,
527         | 1017       | 1000001111 | 0,6,6,6,
528         | 1020       | 1000010000 | 5,4,6,6,
529         | 1021       | 1000010001 | 2,4,6,6,
530         | 1022       | 1000010010 | 4,4,6,6,
531         | 1023       | 1000010011 | 7,4,6,6,
532         | 1024       | 1000010100 | 7,4,6,6,
533         | 1025       | 1000010101 | 2,4,6,6,
534         | 1026       | 1000010110 | 1,4,6,6,
535         | 1027       | 1000010111 | 1,4,6,6,
536         | 1030       | 1000011000 | 4,7,6,6,
537         | 1031       | 1000011001 | 0,7,6,6,
538         | 1032       | 1000011010 | 0,7,6,6,
539         | 1033       | 1000011011 | 7,7,6,6,
540         | 1034       | 1000011100 | 7,7,6,6,
541         | 1035       | 1000011101 | 2,7,6,6,
542         | 1036       | 1000011110 | 1,7,6,6,
543         | 1037       | 1000011111 | 1,7,6,6,
544         | 1040       | 1000100000 | 3,3,6,6,
545         | 1041       | 1000100001 | 6,3,6,6,
546         | 1042       | 1000100010 | 4,3,6,6,
547         | 1043       | 1000100011 | 7,3,6,6,
548         | 1044       | 1000100100 | 7,3,6,6,
549         | 1045       | 1000100101 | 2,3,6,6,
550         | 1046       | 1000100110 | 0,3,6,6,
551         | 1047       | 1000100111 | 2,3,6,6,
552         | 1050       | 1000101000 | 2,3,6,6,
553         | 1051       | 1000101001 | 4,3,6,6,
554         | 1052       | 1000101010 | 0,3,6,6,
555         | 1053       | 1000101011 | 7,3,6,6,
556         | 1054       | 1000101100 | 7,3,6,6,
557         | 1055       | 1000101101 | 2,3,6,6,
558         | 1056       | 1000101110 | 0,3,6,6,
559         | 1057       | 1000101111 | 2,3,6,6,
560         | 1060       | 1000110000 | 1,3,6,6,
561         | 1061       | 1000110001 | 2,3,6,6,
562         | 1062       | 1000110010 | 4,3,6,6,
563         | 1063       | 1000110011 | 7,3,6,6,
564         | 1064       | 1000110100 | 7,3,6,6,
565         | 1065       | 1000110101 | 2,3,6,6,
566         | 1066       | 1000110110 | 0,3,6,6,
567         | 1067       | 1000110111 | 3,3,6,6,
568         | 1070       | 1000111000 | 0,4,6,6,
569         | 1071       | 1000111001 | 0,4,6,6,
570         | 1072       | 1000111010 | 0,4,6,6,
571         | 1073       | 1000111011 | 7,4,6,6,
572         | 1074       | 1000111100 | 7,4,6,6,
573         | 1075       | 1000111101 | 2,4,6,6,
574         | 1076       | 1000111110 | 0,4,6,6,
575         | 1077       | 1000111111 | 3,4,6,6,
576         | 1100       | 1001000000 | 7,6,4,6,
577         | 1101       | 1001000001 | 6,6,4,6,
578         | 1102       | 1001000010 | 4,6,4,6,
579         | 1103       | 1001000011 | 7,6,4,6,
580         | 1104       | 1001000100 | 7,6,4,6,
581         | 1105       | 1001000101 | 3,6,4,6,
582         | 1106       | 1001000110 | 3,6,4,6,
583         | 1107       | 1001000111 | 4,6,4,6,
584         | 1110       | 1001001000 | 6,4,4,6,
585         | 1111       | 1001001001 | 4,4,4,6,
586         | 1112       | 1001001010 | 0,4,4,6,
587         | 1113       | 1001001011 | 7,4,4,6,
588         | 1114       | 1001001100 | 7,4,4,6,
589         | 1115       | 1001001101 | 3,4,4,6,
590         | 1116       | 1001001110 | 3,4,4,6,
591         | 1117       | 1001001111 | 4,4,4,6,
592         | 1120       | 1001010000 | 5,0,4,6,
593         | 1121       | 1001010001 | 2,0,4,6,
594         | 1122       | 1001010010 | 4,0,4,6,
595         | 1123       | 1001010011 | 7,0,4,6,
596         | 1124       | 1001010100 | 7,0,4,6,
597         | 1125       | 1001010101 | 3,0,4,6,
598         | 1126       | 1001010110 | 3,0,4,6,
599         | 1127       | 1001010111 | 5,0,4,6,
600         | 1130       | 1001011000 | 4,7,4,6,
601         | 1131       | 1001011001 | 0,7,4,6,
602         | 1132       | 1001011010 | 0,7,4,6,
603         | 1133       | 1001011011 | 7,7,4,6,
604         | 1134       | 1001011100 | 7,7,4,6,
605         | 1135       | 1001011101 | 3,7,4,6,
606         | 1136       | 1001011110 | 3,7,4,6,
607         | 1137       | 1001011111 | 5,7,4,6,
608         | 1140       | 1001100000 | 3,3,4,6,
609         | 1141       | 1001100001 | 6,3,4,6,
610         | 1142       | 1001100010 | 4,3,4,6,
611         | 1143       | 1001100011 | 7,3,4,6,
612         | 1144       | 1001100100 | 7,3,4,6,
613         | 1145       | 1001100101 | 3,3,4,6,
614         | 1146       | 1001100110 | 2,3,4,6,
615         | 1147       | 1001100111 | 6,3,4,6,
616         | 1150       | 1001101000 | 2,3,4,6,
617         | 1151       | 1001101001 | 4,3,4,6,
618         | 1152       | 1001101010 | 0,3,4,6,
619         | 1153       | 1001101011 | 7,3,4,6,
620         | 1154       | 1001101100 | 7,3,4,6,
621         | 1155       | 1001101101 | 3,3,4,6,
622         | 1156       | 1001101110 | 2,3,4,6,
623         | 1157       | 1001101111 | 6,3,4,6,
624         | 1160       | 1001110000 | 1,3,4,6,
625         | 1161       | 1001110001 | 2,3,4,6,
626         | 1162       | 1001110010 | 4,3,4,6,
627         | 1163       | 1001110011 | 7,3,4,6,
628         | 1164       | 1001110100 | 7,3,4,6,
629         | 1165       | 1001110101 | 3,3,4,6,
630         | 1166       | 1001110110 | 2,3,4,6,
631         | 1167       | 1001110111 | 7,3,4,6,
632         | 1170       | 1001111000 | 0,4,4,6,
633         | 1171       | 1001111001 | 0,4,4,6,
634         | 1172       | 1001111010 | 0,4,4,6,
635         | 1173       | 1001111011 | 7,4,4,6,
636         | 1174       | 1001111100 | 7,4,4,6,
637         | 1175       | 1001111101 | 3,4,4,6,
638         | 1176       | 1001111110 | 2,4,4,6,
639         | 1177       | 1001111111 | 7,4,4,6,
640         | 1200       | 1010000000 | 7,5,0,6,
641         | 1201       | 1010000001 | 6,5,0,6,
642         | 1202       | 1010000010 | 4,5,0,6,
643         | 1203       | 1010000011 | 7,5,0,6,
644         | 1204       | 1010000100 | 6,5,0,6,
645         | 1205       | 1010000101 | 0,5,0,6,
646         | 1206       | 1010000110 | 5,5,0,6,
647         | 1207       | 1010000111 | 0,5,0,6,
